Day,Cohortday,IdLabel,Loc,Period,Amplitude,Disp,Rel,Discard,Cond,Reversal,Cohort
,,Bat50,8,21600000,35,41,0,1,Rateofchange,0,1
,,Bat50,9,21600000,35,41,0,1,Rateofchange,0,1
,,Bat50,10,21600000,35,41,0,1,Rateofchange,0,1
,,Bat50,11,21600000,35,41,0,1,Rateofchange,0,1
,,Bat50,12,21600000,35,41,0,1,Rateofchange,0,1
,,Bat105,1,10800000,35,41,0,1,Rateofchange,0,1
,,Bat105,2,10800000,35,41,0,1,Rateofchange,0,1
,,Bat105,3,10800000,35,41,0,1,Rateofchange,0,1
,,Bat105,4,10800000,35,41,0,1,Rateofchange,0,1
,,Bat105,5,10800000,35,41,0,1,Rateofchange,0,1
,,Bat105,6,10800000,35,41,0,1,Rateofchange,0,1
,,Bat105,7,10800000,35,41,1,1,Rateofchange,0,1
,,Bat105,8,10800000,35,41,1,1,Rateofchange,0,1
,,Bat105,9,10800000,35,41,0,1,Rateofchange,0,1
,,Bat105,10,10800000,35,41,0,1,Rateofchange,0,1
,,Bat105,11,10800000,35,41,0,1,Rateofchange,0,1
,,Bat105,12,10800000,35,41,0,1,Rateofchange,0,1
,,Bat101,1,5400000,35,41,0,1,Rateofchange,0,1
,,Bat101,2,5400000,35,41,0,1,Rateofchange,0,1
,,Bat101,3,5400000,35,41,0,1,Rateofchange,0,1
,,Bat101,4,5400000,35,41,0,1,Rateofchange,0,1
,,Bat101,5,5400000,35,41,0,1,Rateofchange,0,1
,,Bat101,6,5400000,35,41,0,1,Rateofchange,0,1
,,Bat101,7,5400000,35,41,0,1,Rateofchange,0,1
,,Bat101,8,5400000,35,41,0,1,Rateofchange,0,1
,,Bat101,9,5400000,35,41,1,1,Rateofchange,0,1
,,Bat101,10,5400000,35,41,1,1,Rateofchange,0,1
,,Bat101,11,5400000,35,41,0,1,Rateofchange,0,1
,,Bat101,12,5400000,35,41,0,1,Rateofchange,0,1
,,Bat55,1,21600000,35,41,0,1,Rateofchange,0,1
,,Bat55,2,21600000,35,41,0,1,Rateofchange,0,1
,,Bat55,3,21600000,35,41,0,1,Rateofchange,0,1
,,Bat55,4,21600000,35,41,0,1,Rateofchange,0,1
,,Bat55,5,21600000,35,41,0,1,Rateofchange,0,1
,,Bat55,6,21600000,35,41,0,1,Rateofchange,0,1
,,Bat55,7,21600000,35,41,0,1,Rateofchange,0,1
,,Bat55,8,21600000,35,41,0,1,Rateofchange,0,1
,,Bat55,9,21600000,35,41,0,1,Rateofchange,0,1
,,Bat55,10,21600000,35,41,0,1,Rateofchange,0,1
,,Bat55,11,21600000,35,41,1,1,Rateofchange,0,1
,,Bat55,12,21600000,35,41,1,1,Rateofchange,0,1
,,Bat5,1,5400000,35,41,1,1,Rateofchange,0,1
,,Bat5,2,5400000,35,41,1,1,Rateofchange,0,1
,,Bat5,3,5400000,35,41,0,1,Rateofchange,0,1
,,Bat5,4,5400000,35,41,0,1,Rateofchange,0,1
,,Bat5,5,5400000,35,41,0,1,Rateofchange,0,1
,,Bat5,6,5400000,35,41,0,1,Rateofchange,0,1
,,Bat5,7,5400000,35,41,0,1,Rateofchange,0,1
,,Bat5,8,5400000,35,41,0,1,Rateofchange,0,1
