"term";"estimate";"std.error";"statistic";"p.value";"IdLabel";"Period";"sig_level";"significant"
"(Intercept)";-0,657;0,03;-21,935;0;"Bat 70";6;"***";"FALSE"
"cosw";0,037;0,042;0,866;0,387;"Bat 70";6;"n.s.";"FALSE"
"sinw";0,055;0,042;1,287;0,198;"Bat 70";6;"n.s.";"FALSE"
"(Intercept)";-0,297;0,031;-9,478;0;"Bat 74";0,75;"***";"TRUE"
"cosw";-0,1;0,044;-2,26;0,024;"Bat 74";0,75;"*";"TRUE"
"sinw";-0,023;0,045;-0,525;0,599;"Bat 74";0,75;"n.s.";"TRUE"
"(Intercept)";-0,308;0,029;-10,761;0;"Bat 74";1,5;"***";"FALSE"
"cosw";-0,028;0,041;-0,678;0,498;"Bat 74";1,5;"n.s.";"FALSE"
"sinw";0,044;0,04;1,1;0,271;"Bat 74";1,5;"n.s.";"FALSE"
"(Intercept)";-0,679;0,034;-20,066;0;"Bat 74";3;"***";"FALSE"
"cosw";-0,024;0,048;-0,497;0,619;"Bat 74";3;"n.s.";"FALSE"
"sinw";0,082;0,048;1,715;0,086;"Bat 74";3;"n.s.";"FALSE"
"(Intercept)";-0,823;0,037;-22,244;0;"Bat 74";6;"***";"FALSE"
"cosw";0,013;0,052;0,242;0,808;"Bat 74";6;"n.s.";"FALSE"
"sinw";-0,056;0,053;-1,061;0,289;"Bat 74";6;"n.s.";"FALSE"
